Open time,Quote asset volume,Number of trades,Taker buy base asset volume,aroon_down,stoch,class
1684713600000,709594996.7242744,717111,12639.67925,60.0,41.18359021571778,0
1684800000000,1054565781.6023751,816399,18966.20117,56.00000000000001,55.87985523579747,1
1684886400000,1442636235.4543552,1012767,26698.91191,52.0,27.943502885866486,-1
1684972800000,984117789.7017612,753125,17773.08882,48.0,35.76044878059323,0
1685059200000,932817724.59401,655755,16507.37461,44.0,46.54964558798898,0
1685145600000,403337263.0344908,415694,7152.30076,40.0,54.8294915443434,0
1685232000000,1205762341.9704952,843861,23346.55866,36.0,91.7838145499136,1
1685318400000,1182678581.6346693,805579,20199.85331,32.0,72.4011261042618,0
1685404800000,908653906.0072744,745633,15196.52438,28.000000000000004,70.7702164838366,0
1685491200000,1265952178.7798684,908537,21962.66824,24.0,51.97398310843604,0
1685577600000,1055132509.8658342,814389,18620.69161,20.0,36.73585088826331,-1
1685664000000,983857061.640842,811087,18134.67738,16.0,53.22590039801963,1
1685750400000,450588672.4704081,466520,7745.7868,12.0,46.49373847199308,-1
1685836800000,523747237.4389696,504474,9511.72432,8.0,48.2795845063586,1
1685923200000,1722665798.0920303,1420829,30583.35138,100.0,11.120772504690889,-1
1686009600000,1797636024.0812123,1345725,35083.7879,100.0,60.69080009818747,1
1686096000000,1589291467.5372329,1311928,28095.50924,96.0,31.921243362660363,-1
1686182400000,823023638.236875,848252,14614.60741,92.0,37.06542382078216,1
1686268800000,741158215.0539023,746911,12757.07361,88.0,36.39361523455168,0
1686355200000,1673795235.4008925,1713871,31558.13098,84.0,15.83239667713134,-1
1686441600000,776111471.8669971,833902,14266.10759,80.0,18.55645130033717,1
1686528000000,773303698.8633221,858037,14219.97114,76.0,20.61974199741768,-1
1686614400000,1068985236.5126554,1007138,20120.32689,72.0,23.47483789429621,1
1686700800000,1152808416.919793,957418,20726.13761,100.0,11.692718811445127,-1
1686787200000,1224436974.8502872,943268,24035.81623,100.0,30.07472636740972,0
1686873600000,1335158158.639614,926194,24055.65943,96.0,58.19165204028594,0
1686960000000,738491809.8811625,666967,13843.65158,92.0,64.66956934411046,1
1687046400000,571013013.8553362,555956,10367.07533,88.0,59.41769524301928,-1
1687132800000,954193987.2948112,732735,17593.19977,84.0,78.87852702979038,0
1687219200000,1912797983.531005,1189024,35052.57462,80.0,97.3700572342162,0
1687305600000,3210301129.3662906,1872873,55846.96952,76.0,86.56483333333333,1
1687392000000,1775822103.7632556,1146092,27902.93312,72.0,84.74866666666664,-1
1687478400000,2265077496.195469,1338533,36289.3174,68.0,88.79000714722994,1
1687564800000,933244397.704002,776343,14497.56447,64.0,86.36130604317894,0
1687651200000,926316644.4167664,789910,14627.97473,60.0,85.38466873946389,0
1687737600000,1367837657.5451825,954783,22277.58284,56.00000000000001,82.44932855242963,-1
1687824000000,1306206257.0193572,824373,21151.29517,52.0,88.84941661112737,1
1687910400000,1224103637.6132562,895470,19176.75428,48.0,79.57565961091326,-1
1687996800000,1107940389.9242406,758428,17834.38857,44.0,84.2619853653391,0
1688083200000,2726355505.5063505,1559366,44319.81254,40.0,81.71870179434542,0
1688169600000,533859338.1325383,567975,8102.13876,36.0,83.65484371407767,0
1688256000000,711031423.4334425,591533,10630.2474,32.0,84.25395095578446,0
1688342400000,1352635339.5043936,781855,20885.94331,28.000000000000004,94.23130834278258,1
1688428800000,1028794008.5245212,779472,14107.36566,24.0,79.03464137746339,0
1688515200000,1013694790.31705,827926,15619.11716,20.0,52.01041440210368,0
1688601600000,2181763648.99527,1397042,33952.63237,16.0,19.77150000000001,-1
1688688000000,1027461795.2332093,912948,14875.86309,12.0,42.23500000000004,1
1688774400000,395759717.5724279,480214,5990.91468,8.0,39.23150000000005,0
1688860800000,465781514.2589476,473168,7017.35093,4.0,33.03549999999996,-1
1688947200000,1254289037.7420728,896853,19574.2347,0.0,45.578499999999984,0
1689033600000,868966244.2412691,691213,13670.16079,0.0,56.104999999999926,1
1689120000000,1166497472.4331727,784195,18251.27965,0.0,44.0,-1
1689206400000,2194927210.224416,1301632,36084.84178,0.0,84.81164829441883,1
1689292800000,1869443273.7476244,1274387,28513.77996,0.0,29.0507707376448,0
1689379200000,427921094.3021783,488354,6430.54981,0.0,27.9814376325374,0
1689465600000,477189328.0072937,494225,7322.44372,0.0,25.246055972384728,0
1689552000000,929647644.243343,816466,14352.21893,32.0,22.321678321678288,0
1689638400000,897157095.477411,754775,13771.19621,28.000000000000004,15.143966495070275,-1
1689724800000,769254865.285115,617415,12260.98321,24.0,17.328767123287626,1
1689811200000,1125950643.7116497,749723,18061.33493,20.0,12.56434866067533,-1
